seq,road_id,edges,road_no,partition
0,1,[np.int64(1)],3,0
1,2,[np.int64(2)],1,1
2,3,"[np.int64(3), np.int64(3)]",5,2
3,4,[np.int64(4)],6,3
4,5,[np.int64(5)],1,1
5,6,"[np.int64(6), np.int64(6)]",20,0
6,7,[np.int64(7)],3,0
7,8,"[np.int64(8), np.int64(8)]",12,0
8,9,"[np.int64(9), np.int64(9)]",27,0
9,10,[np.int64(10)],1,1
10,11,"[np.int64(11), np.int64(11)]",19,0
11,12,"[np.int64(12), np.int64(12)]",23,0
12,13,"[np.int64(13), np.int64(13)]",8,1
13,14,[np.int64(14)],13,0
14,15,"[np.int64(15), np.int64(15)]",22,0
15,16,"[np.int64(16), np.int64(16)]",6,1
16,17,[np.int64(17)],1,1
17,18,[np.int64(18)],8,3
18,19,[np.int64(19)],1,1
19,20,[np.int64(20)],2,2
20,21,[np.int64(21)],10,1
21,22,"[np.int64(22), np.int64(22)]",4,3
22,23,[np.int64(23)],21,0
23,24,"[np.int64(24), np.int64(24)]",4,0
24,25,"[np.int64(25), np.int64(25)]",11,0
25,26,"[np.int64(26), np.int64(26)]",14,0
26,27,[np.int64(27)],1,1
27,28,"[np.int64(28), np.int64(28)]",7,2
28,29,"[np.int64(29), np.int64(29)]",2,1
29,30,"[np.int64(30), np.int64(30)]",18,1
30,31,[np.int64(31)],2,2
31,32,[np.int64(32)],17,0
32,33,[np.int64(33)],8,0
33,34,"[np.int64(34), np.int64(34)]",18,0
34,35,[np.int64(35)],6,3
35,36,[np.int64(36)],1,1
36,37,[np.int64(37)],21,0
37,38,[np.int64(38)],8,0
38,39,"[np.int64(39), np.int64(39)]",14,1
39,40,[np.int64(40)],8,0
40,41,[np.int64(41)],4,1
41,42,"[np.int64(42), np.int64(42)]",2,0
42,43,"[np.int64(43), np.int64(43)]",9,0
43,44,"[np.int64(44), np.int64(44)]",1,2
44,45,"[np.int64(45), np.int64(45)]",2,3
45,46,[np.int64(46)],20,0
46,47,[np.int64(47)],2,2
47,48,"[np.int64(48), np.int64(48)]",16,0
48,49,"[np.int64(49), np.int64(49)]",25,0
49,50,"[np.int64(50), np.int64(50)]",15,0
50,51,[np.int64(51)],3,0
51,52,"[np.int64(52), np.int64(52)]",10,1
52,53,[np.int64(53)],8,0
53,54,[np.int64(54)],1,1
54,55,[np.int64(55)],21,0
55,56,"[np.int64(56), np.int64(56)]",1,0
56,57,"[np.int64(57), np.int64(57)]",6,0
57,58,"[np.int64(58), np.int64(58)]",5,0
58,59,[np.int64(59)],4,1
59,60,[np.int64(60)],8,0
60,61,[np.int64(61)],1,1
61,62,"[np.int64(62), np.int64(62)]",3,2
62,63,[np.int64(63)],21,0
63,64,"[np.int64(64), np.int64(64)]",3,3
64,65,"[np.int64(65), np.int64(65)]",20,1
65,66,"[np.int64(66), np.int64(66)]",24,0
66,67,[np.int64(67)],2,1
67,68,"[np.int64(68), np.int64(68)]",1,3
68,69,"[np.int64(69), np.int64(69)]",16,1
69,70,[np.int64(70)],3,3
70,71,[np.int64(71)],8,0
71,72,[np.int64(72)],8,3
72,73,[np.int64(73)],12,1
73,74,[np.int64(74)],10,1
74,75,"[np.int64(75), np.int64(75)]",2,2
75,76,[np.int64(76)],19,0
76,77,[np.int64(77)],10,0
77,78,"[np.int64(78), np.int64(78)]",7,0
78,79,[np.int64(79)],3,1
79,80,[np.int64(80)],14,0
80,81,[np.int64(81)],3,1
81,82,[np.int64(82)],3,1
82,83,[np.int64(83)],3,1
